id,storefront_id,title,handle,content,price,image_url,product_type,tags,metafields
9441885585625,gid://shopify/Product/9441885585625,Gift Card,gift-card,"Title: Gift Card. Type: . Tags: . Variants: $10, $25, $50, $100. Description: This is a gift card for the store",10.00,https://cdn.shopify.com/s/files/1/0798/5745/1225/files/gift_card.png?v=1770980171,,,[]
9441885618393,gid://shopify/Product/9441885618393,The Inventory Not Tracked Snowboard,the-inventory-not-tracked-snowboard,"Title: The Inventory Not Tracked Snowboard. Type: . Tags: Accessory, Sport, Winter. Description: ",949.95,https://cdn.shopify.com/s/files/1/0798/5745/1225/files/snowboard_purple_hydrogen.png?v=1770980171,,"Accessory, Sport, Winter",[]
9441885651161,gid://shopify/Product/9441885651161,The Archived Snowboard,the-archived-snowboard,"Title: The Archived Snowboard. Type: . Tags: Archived, Premium, Snow, Snowboard, Sport, Winter. Description: ",629.95,https://cdn.shopify.com/s/files/1/0798/5745/1225/files/Main_52f8e304-92d9-4a36-82af-50df8fe31c69.jpg?v=1770980170,,"Archived, Premium, Snow, Snowboard, Sport, Winter",[]
9441885683929,gid://shopify/Product/9441885683929,The Videographer Snowboard,the-videographer-snowboard,Title: The Videographer Snowboard. Type: . Tags: . Description: ,885.95,https://cdn.shopify.com/s/files/1/0798/5745/1225/files/Main.jpg?v=1770980170,,,[]
9441885716697,gid://shopify/Product/9441885716697,The Draft Snowboard,the-draft-snowboard,Title: The Draft Snowboard. Type: . Tags: . Description: ,2629.95,https://cdn.shopify.com/s/files/1/0798/5745/1225/files/Main_5127218a-8f6c-498f-b489-09242c0fab0a.jpg?v=1770980170,,,[]
9441885749465,gid://shopify/Product/9441885749465,The Complete Snowboard,the-complete-snowboard,"Title: The Complete Snowboard. Type: . Tags: Premium, Snow, Snowboard, Sport, Winter. Variants: Ice, Dawn, Powder, Electric, Sunset. Metadata: title_tag: Complete Snowboard; description_tag: snowboard winter sport snowboarding; snowboard_length: {""value"":159.0,""unit"":""CENTIMETERS""}; snowboard_weight: {""value"":7.0,""unit"":""POUNDS""}. Description: This <b>PREMIUM</b> <i>snowboard</i> is so <b>SUPER</b><i>DUPER</i> awesome!",699.95,https://cdn.shopify.com/s/files/1/0798/5745/1225/files/Main_589fc064-24a2-4236-9eaf-13b2bd35d21d.jpg?v=1770980171,,"Premium, Snow, Snowboard, Sport, Winter","['title_tag: Complete Snowboard', 'description_tag: snowboard winter sport snowboarding', 'snowboard_length: {""value"":159.0,""unit"":""CENTIMETERS""}', 'snowboard_weight: {""value"":7.0,""unit"":""POUNDS""}']"
9441885782233,gid://shopify/Product/9441885782233,The Hidden Snowboard,the-hidden-snowboard,"Title: The Hidden Snowboard. Type: . Tags: Premium, Snow, Snowboard, Sport, Winter. Metadata: snowboard_weight: {""value"":8.0,""unit"":""POUNDS""}; title_tag: Hidden Snowboard; description_tag: hidden snowboard winter sport snowboarding. Description: ",749.95,https://cdn.shopify.com/s/files/1/0798/5745/1225/files/Main_c8ff0b5d-c712-429a-be00-b29bd55cbc9d.jpg?v=1770980170,,"Premium, Snow, Snowboard, Sport, Winter","['snowboard_weight: {""value"":8.0,""unit"":""POUNDS""}', 'title_tag: Hidden Snowboard', 'description_tag: hidden snowboard winter sport snowboarding']"
9441885815001,gid://shopify/Product/9441885815001,The Out of Stock Snowboard,the-out-of-stock-snowboard,"Title: The Out of Stock Snowboard. Type: . Tags: Accessory, Sport, Winter. Description: ",885.95,https://cdn.shopify.com/s/files/1/0798/5745/1225/files/Main_f44a9605-cd62-464d-b095-d45cdaa0d0d7.jpg?v=1770980170,,"Accessory, Sport, Winter",[]
9441885847769,gid://shopify/Product/9441885847769,The Minimal Snowboard,the-minimal-snowboard,Title: The Minimal Snowboard. Type: . Tags: . Description: ,885.95,,,,[]
9441885880537,gid://shopify/Product/9441885880537,The Compare at Price Snowboard,the-compare-at-price-snowboard,"Title: The Compare at Price Snowboard. Type: . Tags: Accessory, Sport, Winter. Description: ",785.95,https://cdn.shopify.com/s/files/1/0798/5745/1225/files/snowboard_sky.png?v=1770980171,,"Accessory, Sport, Winter",[]
